ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0110,2016-08-24,2016,8,24,20:21:00,20,AV ALBERDI Y CARHUE,9,-58.51232237,-34.65903530,PEATON,PEATON-SD,PEATON,SD,57.0,
2016-0111,2016-08-25,2016,8,25,09:30:00,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,15,-58.47461905,-34.57663634,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,27.0,2016-08-25
2016-0112,2016-08-27,2016,8,27,04:40:00,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,1,-58.38268809,-34.62282019,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,24.0,2016-08-27
2016-0113,2016-08-27,2016,8,27,16:45:00,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,9,-58.49603546,-34.64564271,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,60.0,
2016-0114,2016-08-31,2016,8,31,11:20:00,11,SALGUERO 1410,14,-58.41848605,-34.59394733,CICLISTA,BICICLETA-CARGAS,BICICLETA,CARGAS,55.0,2016-08-31
2016-0115,2016-09-02,2016,9,2,11:50:00,11,ARIAS Y TRONADOR,12,-58.48935041,-34.54917673,SD,SD-CARGAS,SD,CARGAS,,
2016-0116,2016-09-02,2016,9,2,20:20:00,20,AV 27 DE FEBRERO Y AV ESCALADA,8,-58.44451316,-34.68475866,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,30.0,2016-09-02
2016-0117,2016-09-03,2016,9,3,15:30:00,15,AV DEL LIBERTADOR Y TAGLE,14,-58.39936478,-34.58271474,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,43.0,
2016-0118,2016-09-04,2016,9,4,03:30:00,3,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,1,-58.37936704,-34.62694503,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,27.0,2016-09-04
2016-0119,2016-09-04,2016,9,4,06:40:00,6,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,12,-58.49659234,-34.56353635,PASAJERO_ACOMPAÑANTE,SD-SD,SD,SD,,
2016-0122,2016-09-13,2016,9,13,07:10:00,7,AV EVA PERON 4233,9,-58.47256391,-34.65194557,CICLISTA,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,49.0,2016-09-13
2016-0123,2016-09-14,2016,9,14,09:00:00,9,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,7,-58.45130953,-34.64053676,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,58.0,
2016-0124,2016-09-16,2016,9,16,15:24:00,15,AVDA RIVADAVIA Y RIVERA INDARTE,7,-58.46271207,-34.62884871,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,67.0,
